Nome,Previsto,Effettivo (2024),Differenza
Sam Field,60.641907,71.0,10.35809326171875
Macaulay Gillesphey,57.687973,68.0,10.312026977539062
Bjarki Steinn Bjarkason,34.70461,45.0,10.295391082763672
Felix Keidel,44.70657,55.0,10.29343032836914
Joe Mendes,51.707016,62.0,10.292984008789062
Marcel Sobottka,60.73711,71.0,10.262889862060547
Vegard Solheim,41.747917,52.0,10.252082824707031
Daniel Samek,63.241207,53.0,10.241207122802734
Valeriy Bondar,63.79009,74.0,10.209911346435547
Jez Lofthouse,26.866243,37.0,10.133756637573242
Rico Lewis,59.907448,70.0,10.092552185058594
Anton Gaaei,48.912674,59.0,10.087326049804688
Matt Clarke,60.941227,71.0,10.058773040771484
Harold Moukoudi,63.961246,74.0,10.038753509521484
Bart Verbruggen,45.991566,56.0,10.008434295654297
Alidu Seidu,64.993904,75.0,10.006095886230469
Dominik Kotarski,45.975098,36.0,9.97509765625
Arthur Vermeeren,57.039204,67.0,9.960796356201172
Trent Buhagiar,35.95889,26.0,9.95888900756836
Kacper Bieszczad,45.95325,36.0,9.953250885009766
Guillaume Restes,45.947598,36.0,9.94759750366211
Filip Jörgensen,45.94059,36.0,9.940589904785156
Marco Friedl,65.07683,75.0,9.923171997070312
Aleksandar Jukic,44.084167,54.0,9.91583251953125
Arouna Sangante,61.091774,71.0,9.908226013183594
Abdoulaye Touré,59.092384,69.0,9.907615661621094
Wilitty Younoussa,53.098053,63.0,9.901947021484375
Can Bozdoğan,51.19795,61.0,9.802051544189453
Luca Ranieri,64.20214,74.0,9.797859191894531
Bjørn Inge Utvik,55.218925,65.0,9.781074523925781
Jekob Abiezer Jeno,54.240078,64.0,9.75992202758789
Moustapha Mbow,57.262867,67.0,9.737133026123047
Nathan-Dylan Saliba,43.287754,53.0,9.71224594116211
Christian Witzig,49.2908,59.0,9.70920181274414
Josh Eccles,57.3058,67.0,9.694198608398438
Lucas Hey,55.306087,65.0,9.693912506103516
Hannibal Mejbri,52.322178,62.0,9.67782211303711
