Nome,Previsto,Effettivo (2024),Differenza
Stefan Drljača,45.43243,31.0,14.432430267333984
Gino Infantino,33.596836,48.0,14.40316390991211
Morten Thorsby,60.679386,75.0,14.320613861083984
Liam Walsh,43.704475,58.0,14.295524597167969
Mark O'Hara,50.786114,65.0,14.213886260986328
Cédric Zesiger,57.85832,72.0,14.141681671142578
Vitaly Janelt,58.968792,73.0,14.031208038330078
Sikou Niakaté,63.1811,77.0,13.818901062011719
Mats Wieffer,58.211605,72.0,13.788394927978516
Joe Gauci,43.732975,30.0,13.732975006103516
Pietro Ceccaroni,59.284462,73.0,13.715538024902344
Henry Hore,26.313921,40.0,13.686079025268555
Mikkel Desler,53.32169,67.0,13.67831039428711
Louis Jones,26.369188,40.0,13.63081169128418
Janis Antiste,33.613987,20.0,13.61398696899414
Jonas Urbig,45.51316,32.0,13.513160705566406
Nils De Mol,45.51233,32.0,13.5123291015625
Xavier Dziekoński,45.512123,32.0,13.512123107910156
Felix Wienand,45.507343,32.0,13.507343292236328
Celestin De Schrevel,45.50713,32.0,13.507129669189453
Storm Strand-Kolbjørnsen,45.50598,32.0,13.5059814453125
Szymon Weirauch,45.504047,32.0,13.504047393798828
Joey Kesting,45.503345,32.0,13.503345489501953
Max Weiß,45.503338,32.0,13.503337860107422
Nikhil Deka,45.503094,32.0,13.503093719482422
Lasse Rieß,45.486565,32.0,13.486564636230469
Daniel Eduardo Juárez,26.518818,40.0,13.481182098388672
Jacob Brown,34.5714,48.0,13.428600311279297
Václav Černý,24.582481,38.0,13.417518615722656
Daniel Paraschiv,45.405838,32.0,13.405838012695312
Giorgio Scalvini,64.62282,78.0,13.377182006835938
Giulio Maggiore,58.692616,72.0,13.307384490966797
Maximiliano Caufriez,59.737312,73.0,13.262687683105469
Harold Moukoudi,60.75019,74.0,13.249809265136719
Jonas Bager,55.766727,69.0,13.233272552490234
Mamadou Sangare,31.818329,45.0,13.181671142578125
Samuel Iling-Junior,23.851336,37.0,13.148664474487305
William Clem,49.88417,63.0,13.115829467773438
Nolan Mbemba,49.931023,63.0,13.068977355957031
Isaac Price,41.978535,55.0,13.021465301513672
Andréas Hountondji,32.020275,19.0,13.020275115966797
Marcus Ingvartsen,24.984438,38.0,13.015562057495117
Franco Díaz,50.986145,64.0,13.01385498046875
Alou Kuol,41.012897,28.0,13.012897491455078
Matt Targett,62.035637,75.0,12.964363098144531
Sinan Karweina,26.066353,39.0,12.933647155761719
Tomás Martínez,38.067326,51.0,12.932674407958984
Kobe Franklin,47.068623,60.0,12.931377410888672
Matías Godoy,26.11844,39.0,12.881559371948242
Quentin Boisgard,43.28499,56.0,12.715011596679688
Skelly Alvero,51.285973,64.0,12.714027404785156
Jordan Storey,60.339367,73.0,12.660633087158203
Lloyd Kelly,60.38128,73.0,12.618721008300781
Isak Hien,62.408875,75.0,12.59112548828125
Philip Fahrner,44.454697,57.0,12.545303344726562
Conor Brann,45.51546,33.0,12.515460968017578
Ștefan Mușat,45.51294,33.0,12.512939453125
Mutlaq Al Hurayji,45.510868,33.0,12.510868072509766
Bartosz Klebaniuk,45.510128,33.0,12.510128021240234
Harvey Wiles-Richards,45.50999,33.0,12.509990692138672
Ahmad Taleb,45.507076,33.0,12.507076263427734
Emre Bilgin,45.503807,33.0,12.503807067871094
Alessandro Lai,45.50352,33.0,12.503520965576172
Nico Mantl,45.503384,33.0,12.50338363647461
Matte Smets,51.49672,64.0,12.503280639648438
Laurin Mack,45.503246,33.0,12.503246307373047
Will Dennis,45.502567,33.0,12.502567291259766
Antonino La Gumina,23.497507,36.0,12.502492904663086
Joe Walsh,45.497612,58.0,12.502388000488281
Wojciech Łaski,34.501373,47.0,12.498626708984375
William Balikwisha,28.50542,41.0,12.494579315185547
Sam Field,58.546257,71.0,12.453742980957031
Federico Dimarco,61.56232,74.0,12.437679290771484
Oskar Zawada,24.672682,37.0,12.32731819152832
Jake Brimmer,50.714836,63.0,12.285163879394531
Mads Juel Andersen,57.741257,70.0,12.258743286132812
