Nome,Target,Previsto,Effettivo (2024),Differenza
Adrian Mazilu,overall,59.347095,66.0,6.652904510498047
Thomas Thiesson Kristensen,overall,61.36797,68.0,6.632030487060547
Moustapha Mbow,overall,60.37301,67.0,6.626991271972656
Elias Jelert,overall,64.38907,71.0,6.610931396484375
Diant Ramaj,overall,60.40306,67.0,6.5969390869140625
Daniel Svensson,overall,60.420433,67.0,6.579566955566406
Fabian Reese,overall,67.424545,74.0,6.5754547119140625
Lewis Mayo,overall,57.42624,64.0,6.573760986328125
Isaac Schmidt,overall,58.43092,65.0,6.569080352783203
Gideon Mensah,overall,63.449757,70.0,6.550243377685547
Rafał Strączek,overall,61.46384,68.0,6.536159515380859
Kortney Hause,overall,65.46487,72.0,6.535133361816406
Bartosz Mrozek,overall,60.47,67.0,6.529998779296875
Thijs Dallinga,overall,68.4727,75.0,6.5272979736328125
Matija Šarkić,overall,61.48285,68.0,6.51715087890625
Giuliano Simeone,overall,65.49799,72.0,6.502006530761719
Jhon Durán,overall,58.51467,65.0,6.485328674316406
Amar Dedić,overall,66.54167,73.0,6.4583282470703125
Charlie Cresswell,overall,63.576973,70.0,6.423027038574219
Zeno Debast,overall,64.58872,71.0,6.411277770996094
Tyrell Warren,overall,55.609474,62.0,6.390525817871094
Juan Cruz Esquivel,overall,61.62022,68.0,6.379779815673828
David Brekalo,overall,62.621796,69.0,6.378204345703125
Youssef Chermiti,overall,65.62358,72.0,6.3764190673828125
Răzvan Sava,overall,57.625263,64.0,6.374736785888672
Saxon Earley,overall,56.64096,63.0,6.359039306640625
Agustín Cayetano,overall,61.642525,68.0,6.357475280761719
Frederik Lauenborg,overall,60.646965,67.0,6.353034973144531
Kailin Barlow,overall,49.648758,56.0,6.3512420654296875
Medon Berisha,overall,65.33155,59.0,6.331550598144531
Orri Óskarsson,overall,54.672108,61.0,6.327892303466797
Aiden O'Neill,overall,64.682884,71.0,6.317115783691406
Nicolas Vouilloz,overall,58.6879,65.0,6.312099456787109
Michał Skóraś,overall,64.74886,71.0,6.251136779785156
Kamil Pestka,overall,61.78088,68.0,6.219120025634766
Wilson Odobert,overall,61.7862,68.0,6.213798522949219
Oscar Wiklöf,overall,56.78836,63.0,6.211639404296875
Hassan Ndam,overall,56.792347,63.0,6.207653045654297
Alexander Prass,overall,67.8279,74.0,6.172096252441406
Julian Niehues,overall,61.836052,68.0,6.163948059082031
Guillaume Restes,overall,62.838127,69.0,6.161872863769531
Alex Robertson,overall,64.15608,58.0,6.1560821533203125
Jonas Sterner,overall,67.1555,61.0,6.1555023193359375
Dominik Kotarski,overall,66.84912,73.0,6.15087890625
Salem Al Najdi,overall,48.852398,55.0,6.147602081298828
Kevin Yakob,overall,62.854275,69.0,6.145725250244141
Lennard Maloney,overall,64.85756,71.0,6.1424407958984375
Manuel Polster,overall,56.857616,63.0,6.142383575439453
Maximiliano Caufriez,overall,65.86656,72.0,6.1334381103515625
Michael Gallagher,overall,49.88916,56.0,6.11083984375
Noah Ohio,overall,60.913425,67.0,6.086574554443359
Ethan Bristow,overall,58.915726,65.0,6.0842742919921875
Matthew Connelly,overall,58.083828,52.0,6.083827972412109
Will Sands,overall,55.941387,62.0,6.058612823486328
Gaëtan Poussin,overall,61.943256,68.0,6.056743621826172
Liam Bennett,overall,57.95035,64.0,6.049648284912109
Ron-Thorben Hoffmann,overall,61.950676,68.0,6.049324035644531
Leopold Querfeld,overall,60.96428,67.0,6.0357208251953125
Jannik Rochelt,overall,62.972828,69.0,6.027172088623047
Benedict Hollerbach,overall,62.973522,69.0,6.026477813720703
Jake Hollman,overall,55.976696,62.0,6.023303985595703
Giorgio Scalvini,overall,68.98576,75.0,6.0142364501953125
Matías Alfonso,overall,60.990913,67.0,6.009086608886719
Malcom Bokele,overall,60.99335,67.0,6.006649017333984
Michel Stöcker,overall,56.998726,63.0,6.001274108886719
Federico Ravaglia,overall,58.99887,65.0,6.001129150390625
Nnamdi Collins,overall,56.999996,63.0,6.000003814697266
Žan Celar,overall,63.00291,69.0,5.997089385986328
Gustav Grubbe,overall,57.006943,63.0,5.9930572509765625
Tasos Douvikas,overall,68.013016,74.0,5.9869842529296875
Julián Fernández,overall,64.024155,70.0,5.9758453369140625
Faris Pemi Moumbagna,overall,61.03819,67.0,5.961811065673828
Mehdi Boukamir,overall,55.04306,61.0,5.956939697265625
Matthias Bader,overall,68.04698,74.0,5.9530181884765625
Will Fish,overall,62.05136,68.0,5.948638916015625
Jacob Shaffelburg,overall,60.054897,66.0,5.945102691650391
Abdulkareem Al Sultan,overall,54.056484,60.0,5.943515777587891
Edoardo Bove,overall,68.058266,74.0,5.941734313964844
Faisal Al Ghamdi,overall,55.06531,61.0,5.934688568115234
Théo De Percin,overall,55.066914,61.0,5.933086395263672
Damián Pizarro,overall,59.06725,65.0,5.932750701904297
Fabricio Vidal,overall,55.075523,61.0,5.924476623535156
Santiago Visentin,overall,55.08687,61.0,5.9131317138671875
Jaheim Headley,overall,57.08874,63.0,5.911258697509766
Nesta Guinness-Walker,overall,60.108036,66.0,5.891963958740234
Marcelo Esponda,overall,67.88728,62.0,5.8872833251953125
Chris Hegardt,overall,57.882465,52.0,5.882465362548828
Jordan Graham,overall,61.127285,67.0,5.872714996337891
Joe Gauci,overall,61.130455,67.0,5.869544982910156
Keegan Jelacic,overall,57.132553,63.0,5.8674468994140625
Osvaldo Cisneros,overall,54.85956,49.0,5.85955810546875
Đorđe Petrović,overall,68.14212,74.0,5.857879638671875
Bruno Amione,overall,64.14417,70.0,5.855827331542969
Lameck Banda,overall,64.1471,70.0,5.852897644042969
Felix Bacher,overall,60.163338,66.0,5.836662292480469
Bertram Kvist,overall,60.83567,55.0,5.835670471191406
Connor Roberts,overall,69.19559,75.0,5.804412841796875
Gustaf Lagerbielke,overall,60.201836,66.0,5.798164367675781
Lukas Sulzbacher,overall,59.203136,65.0,5.796863555908203
Filip Szymczak,overall,60.20362,66.0,5.796379089355469
Johann Lepenant,overall,67.20539,73.0,5.794609069824219
Linton Maina,overall,68.20735,74.0,5.7926483154296875
Łukasz Poręba,overall,62.21102,68.0,5.788978576660156
Mehdi Loune,overall,64.78486,59.0,5.784858703613281
Lars Larsson Jendal,overall,54.239735,60.0,5.760265350341797
Enzo Tchato,overall,59.24084,65.0,5.759159088134766
Ibrahima Koné,overall,64.246765,70.0,5.75323486328125
Lewis Ferguson,overall,68.248314,74.0,5.751686096191406
Adis Jasic,overall,64.25415,70.0,5.745849609375
Dennis Smarsch,overall,57.27184,63.0,5.728160858154297
Nathan Baxter,overall,63.278744,69.0,5.721256256103516
Phillip Menzel,overall,61.279133,67.0,5.720867156982422
Gökhan Gül,overall,67.70802,62.0,5.7080230712890625
Levi Colwill,overall,68.29573,74.0,5.7042694091796875
Lars Olden Larsen,overall,63.296192,69.0,5.703807830810547
Reece Oxford,overall,68.29895,74.0,5.7010498046875
Thomas Geris,overall,57.69572,52.0,5.695720672607422
Alessandro Lai,overall,52.304962,58.0,5.695037841796875
Sebastián González,overall,63.309116,69.0,5.690883636474609
Oscar Wallin,overall,53.310593,59.0,5.6894073486328125
Serano Seymor,overall,57.311672,63.0,5.688327789306641
Gabriel Osho,overall,64.31311,70.0,5.6868896484375
Rassoul Ndiaye,overall,63.31399,69.0,5.686008453369141
Massamba Ndiaye,overall,58.314693,64.0,5.685306549072266
Jordan Storey,overall,66.320305,72.0,5.679695129394531
Jens Odgaard,overall,67.325935,73.0,5.674064636230469
Sean Zawadzki,overall,55.327003,61.0,5.672996520996094
Diego Coppola,overall,65.33005,71.0,5.669952392578125
Reo Griffiths,overall,62.66734,57.0,5.667339324951172
Justin Butler,overall,57.335598,63.0,5.664402008056641
Jordan Brown,overall,55.339005,61.0,5.6609954833984375
Joe Mendes,overall,62.339737,68.0,5.6602630615234375
Noah Atubolu,overall,64.34804,70.0,5.6519622802734375
Edoardo Corvi,overall,49.359867,55.0,5.640132904052734
Darren Yapi,overall,54.36537,60.0,5.6346282958984375
Mandela Keita,overall,64.38337,70.0,5.616630554199219
Fotis Ioannidis,overall,65.386696,71.0,5.613304138183594
Emanuel Emegha,overall,62.386982,68.0,5.613018035888672
Al-Amin Kazeem,overall,54.39946,60.0,5.6005401611328125
Serge-Philippe Raux-Yao,overall,58.418217,64.0,5.581783294677734
Mert Yusuf Torlak,overall,61.574165,56.0,5.574165344238281
Florian Engelhardt,overall,59.56114,54.0,5.561138153076172
Ardon Jashari,overall,65.44122,71.0,5.55877685546875
Martin Agnarsson,overall,60.555252,55.0,5.5552520751953125
Himad Abdelli,overall,66.450356,72.0,5.549644470214844
Dennis Hadžikadunić,overall,65.46236,71.0,5.5376434326171875
Matías Vera,overall,63.471714,69.0,5.528285980224609
Fraser Hornby,overall,63.49463,69.0,5.50537109375
Jack Ellis,overall,50.494633,56.0,5.505367279052734
Arouna Sangante,overall,65.4958,71.0,5.504203796386719
Enzo Ebosse,overall,65.49949,71.0,5.500511169433594
Abderrahman Rebbach,overall,63.51695,69.0,5.483051300048828
Lohann Doucet,overall,59.522575,65.0,5.477424621582031
Bobby Thomas,overall,62.524303,68.0,5.475696563720703
Max Woltman,overall,61.47293,56.0,5.472930908203125
Damian Las,overall,57.46572,52.0,5.465721130371094
Kristoffer Lund Hansen,overall,63.536797,69.0,5.463203430175781
Ole Pohlmann,overall,60.537884,66.0,5.462116241455078
Christian Kinsombi,overall,63.546112,69.0,5.453887939453125
Morten Thorsby,overall,68.54916,74.0,5.450843811035156
Matte Smets,overall,56.561832,62.0,5.438167572021484
Philipp Treu,overall,61.56436,67.0,5.435638427734375
Noah Kruth,overall,56.567127,62.0,5.432872772216797
Muhammed Uvais,overall,49.56959,55.0,5.430408477783203
Steven Sserwadda,overall,58.427757,53.0,5.427757263183594
Lorenzo Colombo,overall,66.572296,72.0,5.427703857421875
Tyler Roberts,overall,62.57685,68.0,5.423149108886719
Boris Lambert,overall,62.578194,68.0,5.421806335449219
John Nelson,overall,60.596973,66.0,5.403026580810547
Dimitrios Nikolaou,overall,66.59848,72.0,5.401519775390625
Jérémy Blasco,overall,61.60616,67.0,5.393840789794922
Dimitar Mitov,overall,57.618332,63.0,5.3816680908203125
Luca Gemello,overall,58.626217,64.0,5.373783111572266
Cihan Çanak,overall,59.637833,65.0,5.3621673583984375
Adam Dźwigała,overall,61.64224,67.0,5.357761383056641
Anton Gaaei,overall,59.643196,65.0,5.356803894042969
Christoph Klarer,overall,66.64366,72.0,5.3563385009765625
Elia Caprile,overall,66.64819,72.0,5.351806640625
Jannis Heuer,overall,63.664433,69.0,5.335567474365234
Niklas Hedl,overall,64.668,70.0,5.332000732421875
Shurandy Sambo,overall,63.67267,69.0,5.32733154296875
Zac Ashworth,overall,56.674694,62.0,5.325305938720703
Lequincio Zeefuik,overall,56.67504,62.0,5.324958801269531
Djenahro Nunumete,overall,64.3225,59.0,5.322502136230469
Mathias Olesen,overall,60.68612,66.0,5.313880920410156
Michele Cerofolini,overall,57.689487,63.0,5.310512542724609
Barry Lauwers,overall,54.690582,60.0,5.309417724609375
Dennis Gjengaar,overall,55.696693,61.0,5.303306579589844
Jeanuël Belocian,overall,63.70209,69.0,5.297908782958984
Akor Jerome Adams,overall,62.72425,68.0,5.275749206542969
Loick Ayina,overall,53.726513,59.0,5.273487091064453
Lennart Grill,overall,63.729965,69.0,5.2700347900390625
Souleymane Diaby,overall,57.73249,63.0,5.267509460449219
Aleksa Pejić,overall,61.733883,67.0,5.266117095947266
Gian Nardelli,overall,60.73455,66.0,5.265449523925781
Yoann Cathline,overall,61.751423,67.0,5.248577117919922
Facundo Buonanotte,overall,63.753307,69.0,5.246692657470703
Steve Ngoura,overall,55.776085,61.0,5.223915100097656
Matteo Meisl,overall,61.782738,67.0,5.217262268066406
Furkan Bayır,overall,60.787914,66.0,5.212085723876953
Jamal Amofa,overall,61.790943,67.0,5.209056854248047
Luca Langoni,overall,66.800934,72.0,5.199066162109375
Christos Kourfalidis,overall,61.803776,67.0,5.196224212646484
Mathias Løvik,overall,57.808662,63.0,5.191337585449219
Huseyin Biler,overall,54.812553,60.0,5.187446594238281
Isaac Ogundere,overall,53.81354,59.0,5.186458587646484
Idris El Mizouni,overall,61.816452,67.0,5.1835479736328125
Leander Øy,overall,59.182663,54.0,5.1826629638671875
Göktan Gürpüz,overall,67.178276,62.0,5.178276062011719
Jusuf Gazibegović,overall,64.82212,70.0,5.177879333496094
Magnus Rugland Ree,overall,59.17054,54.0,5.170539855957031
Tyreece Campbell,overall,53.834576,59.0,5.165424346923828
Harry Boyes,overall,55.83458,61.0,5.1654205322265625
Jamie Egan,overall,49.836586,55.0,5.163414001464844
Andy Smith,overall,57.837227,63.0,5.162773132324219
