Nome,Target,Previsto,Effettivo (2024),Differenza
Hákon Arnar Haraldsson,Physicality,60.234715,69.0,8.76528549194336
Justin Forst,Physicality,48.261555,57.0,8.738445281982422
Liam Ravenhill,Physicality,57.2956,66.0,8.704399108886719
Yusuf Özdemir,Physicality,56.30503,65.0,8.694969177246094
Bradley Barcola,Physicality,53.33224,62.0,8.66775894165039
Matija Šarkić,Physicality,59.356678,68.0,8.643321990966797
Alex Palmer,Physicality,59.359608,68.0,8.640392303466797
Saikou Touray,Physicality,55.362095,64.0,8.63790512084961
Paul Nebel,Physicality,49.37351,58.0,8.62649154663086
Frankie Kent,Physicality,66.38933,75.0,8.610671997070312
Vesel Demaku,Physicality,68.59317,60.0,8.593170166015625
Brian Mansilla,Physicality,50.435455,59.0,8.564544677734375
Oliver Cooper,Physicality,51.46856,60.0,8.531440734863281
Maximilien Balard,Physicality,50.475033,59.0,8.524967193603516
Thijs Dallinga,Physicality,57.508125,66.0,8.491874694824219
Björn Meijer,Physicality,72.58951,81.0,8.410491943359375
Adamo Nagalo,Physicality,68.60659,77.0,8.393409729003906
Philipp Treu,Physicality,52.61488,61.0,8.385120391845703
Brahian Palacios,Physicality,53.61503,62.0,8.384971618652344
Sebastian Banozic,Physicality,59.37119,51.0,8.37118911743164
Eliezer Mayenda,Physicality,50.633457,59.0,8.36654281616211
Oskar Zawada,Physicality,66.64335,75.0,8.356651306152344
Sven Mijnans,Physicality,60.643616,69.0,8.35638427734375
Antonio Carrera,Physicality,59.35196,51.0,8.351959228515625
Lorcan Healy,Physicality,58.35056,50.0,8.35055923461914
Ahmad Taleb,Physicality,59.340405,51.0,8.340404510498047
Arsh Shaikh,Physicality,59.33637,51.0,8.336368560791016
Mamadou Doucouré,Physicality,67.33523,59.0,8.335227966308594
Oliver Arblaster,Physicality,57.66609,66.0,8.333911895751953
Mads Døhr Thychosen,Physicality,67.67645,76.0,8.32354736328125
Adam Sørensen,Physicality,51.677967,60.0,8.322032928466797
Heath Richardson,Physicality,59.32134,51.0,8.321338653564453
Meshari Sanyor,Physicality,59.32059,51.0,8.32059097290039
Jacopo Fazzini,Physicality,57.695892,66.0,8.304107666015625
Yannis Letard,Physicality,71.29564,63.0,8.295639038085938
Noel Eichinger,Physicality,53.70727,62.0,8.292728424072266
Bandar Al Shahrani,Physicality,59.28933,51.0,8.289329528808594
Nathan Bitumazala,Physicality,60.277264,52.0,8.277263641357422
Justin Hammel,Physicality,59.245056,51.0,8.24505615234375
Greg Docherty,Physicality,70.75828,79.0,8.241722106933594
Tommy Leigh,Physicality,62.76927,71.0,8.230728149414062
Ross Munro,Physicality,59.228664,51.0,8.22866439819336
Anton Gaaei,Physicality,52.77592,61.0,8.224079132080078
Jay Stansfield,Physicality,54.77892,63.0,8.221080780029297
Ethan Erhahon,Physicality,63.779457,72.0,8.220542907714844
Andrea Pinamonti,Physicality,64.790886,73.0,8.209114074707031
Bilal Brahimi,Physicality,48.795975,57.0,8.204025268554688
Adrien Louveau,Physicality,64.201744,56.0,8.201744079589844
Georgios Theocharis,Physicality,59.196613,51.0,8.196613311767578
Mohammad Nawaz,Physicality,59.187157,51.0,8.187156677246094
John Tolkin,Physicality,59.815594,68.0,8.184406280517578
Maciej Kowal,Physicality,59.15914,51.0,8.159141540527344
Jordan Meyer,Physicality,62.159092,54.0,8.15909194946289
Storm Strand-Kolbjørnsen,Physicality,59.15123,51.0,8.151229858398438
Anthony Marcucci,Physicality,59.150883,51.0,8.150882720947266
Damian Las,Physicality,59.138195,51.0,8.138195037841797
Louis Fortin,Physicality,59.131237,51.0,8.131237030029297
Toms Leitis,Physicality,59.1303,51.0,8.130298614501953
Lazar Samardžić,Physicality,55.87074,64.0,8.129261016845703
Rune Paeshuyse,Physicality,59.87388,68.0,8.126121520996094
Ethan Bartlow,Physicality,62.87391,71.0,8.126091003417969
Max Johnston,Physicality,56.88583,65.0,8.11417007446289
Jasper Pattenden,Physicality,62.076553,54.0,8.076553344726562
Nectarios Triantis,Physicality,61.97218,70.0,8.027820587158203
Maxwell Gyamfi,Physicality,68.977715,77.0,8.022285461425781
Folarin Balogun,Physicality,60.98666,69.0,8.01333999633789
CJ Egan-Riley,Physicality,65.992096,74.0,8.007904052734375
Ramy Najjarine,Physicality,54.974434,47.0,7.974433898925781
Rayyan Baniya,Physicality,69.0409,77.0,7.959098815917969
Daniel Hall,Physicality,65.044846,73.0,7.9551544189453125
Sam McClelland,Physicality,64.06459,72.0,7.9354095458984375
Jerry Yates,Physicality,60.081524,68.0,7.918476104736328
Sebastian Nanasi,Physicality,54.10042,62.0,7.899578094482422
Giuliano Simeone,Physicality,72.10254,80.0,7.8974609375
Arda Güler,Physicality,42.11216,50.0,7.887840270996094
William Osula,Physicality,53.113255,61.0,7.886745452880859
Alexander Ranacher,Physicality,55.128696,63.0,7.871303558349609
Niklas Hedl,Physicality,59.130646,67.0,7.869354248046875
Gaëtan Poussin,Physicality,59.131752,67.0,7.868247985839844
Damián Bobadilla,Physicality,60.14878,68.0,7.851219177246094
Leopold Wahlstedt,Physicality,59.150917,67.0,7.849082946777344
Kacper Tobiasz,Physicality,59.151237,67.0,7.848762512207031
Marco Burch,Physicality,67.155685,75.0,7.8443145751953125
Anthony Patterson,Physicality,59.15667,67.0,7.843330383300781
Oumar Ngom,Physicality,57.15899,65.0,7.841011047363281
Couhaib Driouech,Physicality,56.162346,64.0,7.837654113769531
Filip Stanković,Physicality,59.176826,67.0,7.823173522949219
Quilindschy Hartman,Physicality,67.19515,75.0,7.804847717285156
Frederik Recktenwald,Physicality,43.80429,36.0,7.804290771484375
Kjell Scherpen,Physicality,59.197845,67.0,7.802154541015625
Fabian de Keijzer,Physicality,59.224007,67.0,7.775993347167969
Arthur Okonkwo,Physicality,59.224625,67.0,7.7753753662109375
Phillip Menzel,Physicality,59.224636,67.0,7.775363922119141
William Balikwisha,Physicality,49.2313,57.0,7.768699645996094
Cédric Zesiger,Physicality,73.233055,81.0,7.766944885253906
Luca Philipp,Physicality,59.255253,67.0,7.744747161865234
Mile Svilar,Physicality,59.255825,67.0,7.744174957275391
Willum Þór Willumsson,Physicality,69.26018,77.0,7.7398223876953125
Nico Mantl,Physicality,59.27015,67.0,7.729850769042969
Oliver Antman,Physicality,50.29228,58.0,7.707721710205078
Moritz Oswald,Physicality,54.322895,62.0,7.677104949951172
Robin Voisine,Physicality,70.67699,63.0,7.6769866943359375
Federico Ravaglia,Physicality,59.323483,67.0,7.676517486572266
Luca Moro,Physicality,54.327106,62.0,7.672893524169922
Rory Feely,Physicality,61.33161,69.0,7.668388366699219
Eirik Blikstad,Physicality,57.66828,50.0,7.668281555175781
Mazeed Ogungbo,Physicality,62.335938,70.0,7.6640625
Kader Keïta,Physicality,63.358982,71.0,7.641017913818359
David Sala,Physicality,56.63299,49.0,7.632991790771484
Felipe Valencia,Physicality,36.62621,29.0,7.626209259033203
Japhet Sery Larsen,Physicality,66.38054,74.0,7.6194610595703125
Lars Olden Larsen,Physicality,54.384487,62.0,7.615512847900391
Maxim De Cuyper,Physicality,62.418083,70.0,7.581916809082031
David Ajiboye,Physicality,60.426956,68.0,7.5730438232421875
Andy Diouf,Physicality,67.427055,75.0,7.572944641113281
Gabriel Kobylak,Physicality,59.431313,67.0,7.568687438964844
Jarrod Carluccio,Physicality,51.446106,59.0,7.55389404296875
Justin Haak,Physicality,58.55076,51.0,7.550758361816406
Daniel Bunk,Physicality,40.54484,33.0,7.544841766357422
Maximilian Wittek,Physicality,65.49172,73.0,7.508277893066406
Paul Joly,Physicality,61.494595,69.0,7.505405426025391
Valentino Müller,Physicality,60.505253,68.0,7.494747161865234
Anass Zaroury,Physicality,53.506863,61.0,7.493137359619141
Felix Bacher,Physicality,71.51768,79.0,7.482322692871094
Ed Turns,Physicality,62.528446,70.0,7.471553802490234
Kyan Vaesen,Physicality,57.53045,65.0,7.469551086425781
Tobias Berger,Physicality,63.531094,71.0,7.468906402587891
Daniel Samek,Physicality,66.45916,59.0,7.459159851074219
Mirko Antonucci,Physicality,52.5446,60.0,7.4553985595703125
Owen Dale,Physicality,49.57577,57.0,7.424228668212891
Tijjani Noslin,Physicality,50.577747,58.0,7.422252655029297
Janis Antiste,Physicality,53.587772,61.0,7.412227630615234
Elias Jelert,Physicality,64.591255,72.0,7.408744812011719
Joachim Imbrechts,Physicality,59.398205,52.0,7.398204803466797
Lewis Bate,Physicality,57.389477,50.0,7.389476776123047
Julian Ryerson,Physicality,72.61167,80.0,7.388328552246094
Julien Ponceau,Physicality,51.640327,59.0,7.359672546386719
Celestin De Schrevel,Physicality,59.355083,52.0,7.355083465576172
Ishaq Abdulrazak,Physicality,54.651035,62.0,7.348964691162109
Henry Hore,Physicality,53.65979,61.0,7.3402099609375
Akash Mishra,Physicality,62.66439,70.0,7.335609436035156
Óscar Zambrano,Physicality,60.67171,68.0,7.328289031982422
Amankwah Forson,Physicality,42.67926,50.0,7.32073974609375
Tomi Horvat,Physicality,58.68,66.0,7.319999694824219
Freddie Draper,Physicality,64.68119,72.0,7.318809509277344
Aleksandar Jukic,Physicality,61.688667,69.0,7.311332702636719
Ben Bottomley,Physicality,59.30856,52.0,7.308559417724609
Nik Prelec,Physicality,61.69536,69.0,7.3046417236328125
Anton Eriksson,Physicality,59.703728,67.0,7.296272277832031
Malik Tillman,Physicality,57.70795,65.0,7.292049407958984
Yanis Begraoui,Physicality,53.713722,61.0,7.286277770996094
Justin Ferizaj,Physicality,47.72895,55.0,7.271049499511719
David Skubl,Physicality,59.270496,52.0,7.270496368408203
Leif Davis,Physicality,58.744556,66.0,7.255443572998047
Kayne van Oevelen,Physicality,59.251087,52.0,7.251087188720703
Malik Batmaz,Physicality,52.75517,60.0,7.244831085205078
Bruno Leyes,Physicality,64.75903,72.0,7.240966796875
Matthew Connelly,Physicality,59.237274,52.0,7.237274169921875
Soyal Joshy,Physicality,52.76588,60.0,7.234119415283203
Emmanuel Iyoha,Physicality,62.76647,70.0,7.233528137207031
Lenny Joseph,Physicality,51.767345,59.0,7.232654571533203
Ryan Flamingo,Physicality,66.76837,74.0,7.23162841796875
Luke Heeney,Physicality,67.221756,60.0,7.2217559814453125
Jonathan Afolabi,Physicality,56.7788,64.0,7.221199035644531
Magnus Rugland Ree,Physicality,59.20665,52.0,7.2066497802734375
Ragnar Ache,Physicality,67.798615,75.0,7.201385498046875
Amadou Sagna,Physicality,41.801613,49.0,7.198387145996094
Conor Brann,Physicality,59.196144,52.0,7.196144104003906
Hunor Gedő,Physicality,59.172222,52.0,7.172222137451172
Joel Tabiner,Physicality,49.830994,57.0,7.16900634765625
Karl Edouard Etta Eyong,Physicality,68.16636,61.0,7.166358947753906
Casper Andersson,Physicality,59.164204,52.0,7.164203643798828
James Holden,Physicality,59.156143,52.0,7.1561431884765625
Jack Warshawsky,Physicality,59.155758,52.0,7.155757904052734
Kyle Robinson,Physicality,52.844288,60.0,7.155712127685547
Max Weiß,Physicality,59.149467,52.0,7.149467468261719
Cian Tyler,Physicality,59.14911,52.0,7.14910888671875
Edoardo Corvi,Physicality,59.139263,52.0,7.139263153076172
Leonidas Stergiou,Physicality,69.87763,77.0,7.122367858886719
Donal Higgins,Physicality,51.87812,59.0,7.121879577636719
Antonio Candela,Physicality,61.888885,69.0,7.111114501953125
Kristoffer Lund Hansen,Physicality,63.89838,71.0,7.101619720458984
Marcus Browne,Physicality,68.08773,61.0,7.087730407714844
Justin Butler,Physicality,57.918694,65.0,7.081306457519531
Giovanni Fabbian,Physicality,55.920837,63.0,7.07916259765625
Kenzo Goudmijn,Physicality,48.921875,56.0,7.078125
Tony Springett,Physicality,44.925247,52.0,7.0747528076171875
Anthony Schmid,Physicality,59.926147,67.0,7.0738525390625
Franklin Tebo Uchenna,Physicality,70.93711,78.0,7.062889099121094
Raphael Borges Rodrigues,Physicality,53.937485,61.0,7.0625152587890625
Moritz Jenz,Physicality,73.96673,81.0,7.033271789550781
Lindrit Kamberi,Physicality,65.973335,73.0,7.026664733886719
Adam Obert,Physicality,57.97376,65.0,7.026241302490234
